,equity
2021-07-20,954.4510204081633
2021-07-21,1083.419892304748
2021-07-22,1127.3588139603667
2021-07-23,1159.9061633348992
2021-07-24,1165.6019494754423
2021-07-25,1146.8872235850865
2021-07-26,1148.107749186631
2021-07-27,1144.853014249178
2021-07-28,1134.2751257024547
2021-07-29,1272.6013605442176
2021-07-30,1317.3539659342
2021-07-31,1494.7370200254018
2021-08-01,1391.3991857612614
2021-08-02,1350.308157175914
2021-08-03,1387.7376089566262
2021-08-04,1455.6802007759627
2021-08-05,1520.3680576578456
2021-08-06,1607.8390591019015
2021-08-07,1606.2116916331747
2021-08-08,1532.5733136732956
2021-08-09,1574.0711841258242
2021-08-10,1655.0327156949736
2021-08-11,1694.9032186787756
2021-08-12,1671.7132322494215
2021-08-13,1826.3131417784505
2021-08-14,1796.6136854741894
2021-08-15,2177.8245150234006
2021-08-16,2528.5222045339874
2021-08-17,2611.1111035718636
2021-08-18,2961.4019512152686
2021-08-19,2962.6224768168127
2021-08-20,3201.0318109852633
2021-08-21,3006.1545566052505
2021-08-22,2959.774583746542
2021-08-23,3078.1655670964033
2021-08-24,2875.1514753727574
2021-08-25,2926.8203925048274
2021-08-26,3045.211375854689
2021-08-27,3584.6836917375635
2021-08-28,3921.1419158967924
2021-08-29,3836.1119656558267
2021-08-30,4482.176850740295
2021-08-31,4407.724789046052
2021-09-01,4504.959995302467
2021-09-02,5219.374314073453
2021-09-03,5958.605986742522
2021-09-04,5655.101953825007
2021-09-05,5781.629774518501
2021-09-06,6684.8187196617755
2021-09-07,7046.501139586267
2021-09-08,7771.086505036795
2021-09-09,7636.421846999667
2021-09-10,7302.81151591071
2021-09-11,7286.537841223443
2021-09-12,7095.322163648065
2021-09-13,6902.47911860396
2021-09-14,6465.530953250863
2021-09-15,6454.953064704139
2021-09-16,6188.471641700156
2021-09-17,6169.287379610885
2021-09-18,7064.952167634968
2021-09-19,6376.6449477130445
2021-09-20,5509.795006502282
2021-09-21,5174.401670249418
2021-09-22,6181.415990789736
2021-09-23,6257.338362926578
2021-09-24,5810.147247922759
2021-09-25,5679.994609973885
2021-09-26,5666.645621466309
2021-09-27,5687.920571900259
2021-09-28,5515.218033083487
2021-09-29,5644.119203359775
2021-09-30,5895.247049658561
2021-10-01,6744.159287562267
2021-10-02,7049.5173996730855
2021-10-03,7219.299847253827
2021-10-04,6975.263651099691
2021-10-05,6867.637431257353
2021-10-06,6420.863472144394
2021-10-07,6438.80117545145
2021-10-08,6625.687014557525
2021-10-09,6541.8386804943075
2021-10-10,6160.141040355786
2021-10-11,6045.423170368798
2021-10-12,6358.70724440599
2021-10-13,6176.4101200993955
2021-10-14,6257.755518817442
2021-10-15,6806.732671191534
2021-10-16,6572.70821641808
2021-10-17,6676.162877351799
2021-10-18,6555.604824892747
2021-10-19,6503.043182644164
2021-10-20,7375.733306326992
2021-10-21,7936.390823645213
2021-10-22,8185.432890489689
2021-10-23,8248.423430009818
2021-10-24,8439.063672133647
2021-10-25,8754.016369734285
2021-10-26,8331.437452291311
2021-10-27,7697.360498181419
2021-10-28,8128.2825334416275
2021-10-29,8360.221208760773
2021-10-30,8172.501057872976
2021-10-31,8454.081284204673
2021-11-01,8489.539534927922
2021-11-02,9224.985370517226
2021-11-03,10137.722459722785
2021-11-04,10310.842154430418
2021-11-05,9859.062324627119
2021-11-06,10788.902805358008
2021-11-07,10418.885530163616
2021-11-08,10360.066549552104
2021-11-09,9971.277259268934
2021-11-10,9745.595922312716
2021-11-11,9741.007207513234
2021-11-12,9537.852288663553
2021-11-13,10080.98925856558
2021-11-14,9957.928270761357
2021-11-15,9935.40185265482
2021-11-16,9139.46841289056
2021-11-17,9133.628230418495
2021-11-18,8144.551613185234
2021-11-19,8119.30350318436
2021-11-20,8188.373221997457
2021-11-21,8664.515719233255
2021-11-22,8109.078772970818
2021-11-23,8340.573467759492
2021-11-24,7732.14828778731
2021-11-25,7894.119413524191
2021-11-26,7224.43833217124
2021-11-27,7252.999365943868
2021-11-28,7550.635402100735
2021-11-29,7674.650417166096
2021-11-30,7832.863512143421
2021-12-01,8640.088519296136
2021-12-02,8789.658143526482
2021-12-03,7962.139770272161
2021-12-04,7554.017629784334
2021-12-05,7393.549716351276
2021-12-06,7291.707082767297
2021-12-07,7154.538960043488
2021-12-08,7318.389101160148
2021-12-09,6817.443600911279
2021-12-10,6796.309525748454
2021-12-11,6954.827313961344
2021-12-12,6992.010258689635
2021-12-13,6270.580298472236
2021-12-14,6524.394312487097
2021-12-15,7216.320414387481
2021-12-16,7150.441936227572
2021-12-17,7099.113306004821
2021-12-18,7392.939401846865
2021-12-19,7275.732293464206
2021-12-20,7032.830665402213
2021-12-21,7265.224069954036
2021-12-22,7208.641327976203
2021-12-23,7683.936360590018
2021-12-24,7696.4653963136825
2021-12-25,7802.355956300773
2021-12-26,7997.970578567002
2021-12-27,7910.671490944056
2021-12-28,7163.779296836632
2021-12-29,6895.819597327312
2021-12-30,6973.014623882787
2021-12-31,6867.932388781094
2022-01-01,7238.145186293215
2022-01-02,7129.425489207232
2022-01-03,6873.994825421577
2022-01-04,6779.824976272751
2022-01-05,6238.651465499028
2022-01-06,6219.311645955981
2022-01-07,5627.0751588055855
2022-01-08,5609.631225813288
2022-01-09,5609.631225813288
2022-01-10,5609.631225813288
2022-01-11,5609.631225813288
2022-01-12,5609.631225813288
2022-01-13,5395.639548611521
2022-01-14,5394.901431026212
2022-01-15,5452.474602680343
2022-01-16,5460.593896118746
2022-01-17,5160.91815648314
2022-01-18,5144.919310198042
2022-01-19,5144.919310198042
2022-01-20,5144.919310198042
2022-01-21,5144.919310198042
2022-01-22,5144.919310198042
2022-01-23,5144.919310198042
2022-01-24,5144.919310198042
2022-01-25,5144.919310198042
2022-01-26,5144.919310198042
2022-01-27,5144.919310198042
2022-01-28,5144.919310198042
2022-01-29,5144.919310198042
2022-01-30,5144.919310198042
2022-01-31,5144.919310198042
2022-02-01,5144.919310198042
2022-02-02,5144.919310198042
2022-02-03,5144.919310198042
2022-02-04,5144.919310198042
2022-02-05,5144.919310198042
2022-02-06,5144.919310198042
2022-02-07,5144.919310198042
2022-02-08,5144.919310198042
2022-02-09,5144.919310198042
2022-02-10,5144.919310198042
2022-02-11,5144.919310198042
2022-02-12,5144.919310198042
2022-02-13,5144.919310198042
2022-02-14,5144.919310198042
2022-02-15,5144.919310198042
2022-02-16,5144.919310198042
2022-02-17,5144.919310198042
2022-02-18,5144.919310198042
2022-02-19,5144.919310198042
2022-02-20,5144.919310198042
2022-02-21,5144.919310198042
2022-02-22,5144.919310198042
2022-02-23,5144.919310198042
2022-02-24,5144.919310198042
2022-02-25,5144.919310198042
2022-02-26,5144.919310198042
2022-02-27,5144.919310198042
2022-02-28,5144.919310198042
2022-03-01,5144.919310198042
2022-03-02,5144.919310198042
2022-03-03,5144.919310198042
2022-03-04,5144.919310198042
2022-03-05,5144.919310198042
2022-03-06,5144.919310198042
2022-03-07,5144.919310198042
2022-03-08,5144.919310198042
2022-03-09,5144.919310198042
2022-03-10,5144.919310198042
2022-03-11,5144.919310198042
2022-03-12,5144.919310198042
2022-03-13,5144.919310198042
2022-03-14,5144.919310198042
2022-03-15,5144.919310198042
2022-03-16,5144.919310198042
2022-03-17,5144.919310198042
2022-03-18,5144.919310198042
2022-03-19,5144.919310198042
2022-03-20,5144.919310198042
2022-03-21,5144.919310198042
2022-03-22,5144.919310198042
2022-03-23,5144.919310198042
2022-03-24,5144.919310198042
2022-03-25,5144.919310198042
2022-03-26,5144.919310198042
2022-03-27,5144.919310198042
2022-03-28,5144.919310198042
2022-03-29,5144.919310198042
2022-03-30,5144.919310198042
2022-03-31,5222.793190993221
2022-04-01,5720.242558744936
2022-04-02,5633.932967588014
2022-04-03,5821.007943494643
2022-04-04,5617.7764923960785
2022-04-05,5392.436180508549
2022-04-06,4804.000347202247
2022-04-07,4789.1079461259205
