entry_idx,exit_idx,entry_date,exit_date,entry_price,exit_price,dur_h,gross,net,mfe,mae,reason,dur_d
405,431,2021-01-17 21:00:00+00:00,2021-01-18 23:00:00+00:00,3.8552,3.7868,26.0,-0.017742270180535424,-0.019342270180535425,0.08165594521684993,-0.061864494708445794,Chandelier 3xATR (trailing),1.0833333333333333
475,488,2021-01-20 19:00:00+00:00,2021-01-21 08:00:00+00:00,3.674,3.4671,13.0,-0.05631464344039194,-0.05791464344039194,0.0183179096352748,-0.05756668481219385,rottura EMA200 (trend),0.5416666666666666
556,566,2021-01-24 04:00:00+00:00,2021-01-24 14:00:00+00:00,3.5742,3.5762,10.0,0.0005595657769570384,-0.0010404342230429617,0.06037714733366917,-0.0010072183985225802,Chandelier 3xATR (trailing),0.4166666666666667
567,590,2021-01-24 15:00:00+00:00,2021-01-25 14:00:00+00:00,3.5936,3.459,23.0,-0.03745547640249325,-0.039055476402493246,0.029162956366874493,-0.04279830810329477,rottura EMA200 (trend),0.9583333333333334
595,632,2021-01-25 19:00:00+00:00,2021-01-27 08:00:00+00:00,3.893,3.6738,37.0,-0.05630619059851005,-0.05790619059851005,0.05240174672489095,-0.06298484459285891,Chandelier 3xATR (trailing),1.5416666666666667
709,735,2021-01-30 13:00:00+00:00,2021-01-31 15:00:00+00:00,3.9253,4.2266,26.0,0.07675846432119848,0.07515846432119848,0.22411025908847715,-0.003082566937558928,Chandelier 3xATR (trailing),1.0833333333333333
736,865,2021-01-31 16:00:00+00:00,2021-02-06 01:00:00+00:00,4.3572,6.157,129.0,0.4130634352336364,0.41146343523363643,0.6395391535848711,-0.05730744514826036,Chandelier 3xATR (trailing),5.375
885,892,2021-02-06 21:00:00+00:00,2021-02-07 04:00:00+00:00,6.3401,5.8141,7.0,-0.08296399110424124,-0.08456399110424125,0.002697118341981941,-0.09307424173120293,Chandelier 3xATR (trailing),0.2916666666666667
896,948,2021-02-07 08:00:00+00:00,2021-02-09 12:00:00+00:00,6.4118,7.5938,52.0,0.18434760909572967,0.18274760909572968,0.3248229826257838,-0.04706946567266601,Chandelier 3xATR (trailing),2.1666666666666665
949,1030,2021-02-09 13:00:00+00:00,2021-02-12 23:00:00+00:00,7.7303,9.2,82.0,0.190121987503719,0.188521987503719,0.28455557999042735,-0.06083851855684774,Chandelier 3xATR (trailing),3.4166666666666665
1057,1065,2021-02-14 02:00:00+00:00,2021-02-14 10:00:00+00:00,9.2053,8.58,8.0,-0.06792825872051966,-0.06952825872051967,0.001575179516148273,-0.06814552486067804,Chandelier 3xATR (trailing),0.3333333333333333
1092,1108,2021-02-15 13:00:00+00:00,2021-02-16 05:00:00+00:00,8.6703,8.6413,16.0,-0.0033447516233579,-0.0049447516233579,0.08185414576196925,-0.01043793179013397,Chandelier 3xATR (trailing),0.6666666666666666
1144,1145,2021-02-17 17:00:00+00:00,2021-02-17 18:00:00+00:00,8.3101,8.2708,1.0,-0.004729184967690037,-0.0063291849676900365,0.002490944753974045,-0.015282607910855561,rottura EMA200 (trend),0.041666666666666664
1146,1149,2021-02-17 19:00:00+00:00,2021-02-17 22:00:00+00:00,8.4013,8.2218,3.0,-0.021365741016271422,-0.022965741016271423,0.00245200147596214,-0.023436849059074283,rottura EMA200 (trend),0.125
1155,1177,2021-02-18 04:00:00+00:00,2021-02-19 02:00:00+00:00,8.5383,8.7182,22.0,0.02106976798660165,0.01946976798660165,0.0915521825187684,-0.014733612077345581,Chandelier 3xATR (trailing),0.9166666666666666
1178,1213,2021-02-19 03:00:00+00:00,2021-02-20 14:00:00+00:00,8.6818,10.3413,35.0,0.1911469971664861,0.1895469971664861,0.3649243244488469,-0.014328825819530655,Chandelier 3xATR (trailing),1.4583333333333333
